scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,23.664742906716555,0.8230120882693756,23.15463472952313,24.174851083909974,23.665 ? 0.823 (23.155-24.175)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_pct,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_pct,10,10,7.811673011890233,0.5231239126529122,7.487437451643726,8.13590857213674,7.812 ? 0.523 (7.487-8.136)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,10,9.670865491289517,0.648409275687748,9.268977258527466,10.072753724051568,9.671 ? 0.648 (9.269-10.073)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,10,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,10,2.589698725413901,0.4376244794326352,2.3184562629027834,2.860941187925018,2.590 ? 0.438 (2.318-2.861)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,10,10.509209980459136,1.775396821431477,9.40880763001518,11.609612330903092,10.509 ? 1.775 (9.409-11.610)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,total,Total water stress,loss_pct,10,10,4.131904933617608,0.36098219073959,3.908165853788696,4.355644013446519,4.132 ? 0.361 (3.908-4.356)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,10,16.766355767005958,1.4692267664981848,15.855719582647906,17.67699195136401,16.766 ? 1.469 (15.856-17.677)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,10,2.0359803796993408,0.1195214819860901,1.9619001976699544,2.110060561728728,2.036 ? 0.120 (1.962-2.110)
ssp126,future_2070_2100,2070,2100,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,10,8.259501071362228,0.4973314134650323,7.951251867736143,8.567750274988313,8.260 ? 0.497 (7.951-8.568)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_pct,10,10,1.9843237809707768,0.3350607787217955,1.7766509587620685,2.191996603179486,1.984 ? 0.335 (1.777-2.192)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_million_tonnes,10,10,10.509209980459136,1.775396821431477,9.40880763001518,11.609612330903092,10.509 ? 1.775 (9.409-11.610)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_pct,10,10,4.991881914680198,0.3905406393737818,4.749822318581399,5.233941510778997,4.992 ? 0.391 (4.750-5.234)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_million_tonnes,10,10,26.437221258295477,2.0688055832206445,25.154962273201622,27.719480243389324,26.437 ? 2.069 (25.155-27.719)
ssp126,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.560571201941341,0.0920673506542869,1.5035072668051723,1.6176351370775093,1.561 ? 0.092 (1.504-1.618)
