scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,total,Total water stress,loss_pct,10,3.745136875402428,0.14087665537293798,3.6578206197779117,3.832453131026944,3.745 ± 0.141 (3.658-3.832)
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,3.1860325476865077,0.11484834150870359,3.1148488081330767,3.2572162872399386,3.186 ± 0.115 (3.115-3.257)
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,2.6995461208761435,0.22747728046117643,2.5585542417252896,2.8405380000269975,2.700 ± 0.227 (2.559-2.841)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,3.3973965854759682,0.2842643519653203,3.221207714754742,3.5735854561971943,3.397 ± 0.284 (3.221-3.574)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,total,Total water stress,loss_pct,10,10.044469102686753,0.413535731666094,9.788157000724654,10.300781204648851,10.044 ± 0.414 (9.788-10.301)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,12.562466105955226,0.586533152219374,12.198929091849779,12.926003120060672,12.562 ± 0.587 (12.199-12.926)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,9.777793013647372,0.4107661057000361,9.523197543643892,10.032388483650852,9.778 ± 0.411 (9.523-10.032)
ssp126,future_2070_2100,2070,2100,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,12.236921476637855,0.5845768863524956,11.87459696867865,12.59924598459706,12.237 ± 0.585 (11.875-12.599)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_pct,10,1.5968560468528545,0.13428575419960118,1.5136248740983393,1.6800872196073697,1.597 ± 0.134 (1.514-1.680)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_million_tonnes,10,3.3973965854759682,0.2842643519653203,3.221207714754742,3.5735854561971943,3.397 ± 0.284 (3.221-3.574)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_pct,10,7.475729746479866,0.26538117612242,7.311244789402362,7.640214703557369,7.476 ± 0.265 (7.311-7.640)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_million_tonnes,10,15.748498653641732,0.6061389588551672,15.372809834686832,16.124187472596635,15.748 ± 0.606 (15.373-16.124)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_pct,10,5.779968727502831,0.25364099456734085,5.622760410341485,5.9371770446641765,5.780 ± 0.254 (5.623-5.937)
ssp126,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,12.236921476637855,0.5845768863524956,11.87459696867865,12.59924598459706,12.237 ± 0.585 (11.875-12.599)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_pct,10,7.472571864568065,0.5695433884853478,7.119565215122917,7.8255785140132135,7.473 ± 0.570 (7.120-7.826)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_million_tonnes,10,0.7798969969621471,0.060601941446799576,0.742335524504538,0.8174584694197562,0.780 ± 0.061 (0.742-0.817)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_pct,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,10,0.0,0.0,0.0,0.0,0.000 ± 0.000 (0.000-0.000)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_pct,10,1.8458872673812081,0.46108843554681644,1.5601016941992378,2.1316728405631786,1.846 ± 0.461 (1.560-2.132)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,10,2.4810150412740244,0.6169268294064045,2.0986398308783096,2.863390251669739,2.481 ± 0.617 (2.099-2.863)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_pct,10,2.731248365277424,0.41270953945055017,2.4754483425558247,2.9870483879990237,2.731 ± 0.413 (2.475-2.987)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,10,3.6808010651885885,0.5506329335951643,3.339515237115839,4.022086893261338,3.681 ± 0.551 (3.340-4.022)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,10,1.1950270943941717,0.07395829553211705,1.1491872679080841,1.2408669208802592,1.195 ± 0.074 (1.149-1.241)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,10,1.616769998887507,0.10480192509153746,1.5518130927414238,1.6817269050335903,1.617 ± 0.105 (1.552-1.682)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_pct,10,1.7125750002154567,0.4274856540681022,1.4476166467706593,1.9775333536602542,1.713 ± 0.427 (1.448-1.978)
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_million_tonnes,10,2.4810150412740244,0.6169268294064045,2.0986398308783096,2.863390251669739,2.481 ± 0.617 (2.099-2.863)
