crop,hazard,year,value,q25,q75,scenario,n_gcm,value_smooth,q25_smooth,q75_smooth
soyb,wet,1980,0.0631031733142398,0.0631031733142398,0.0631031733142398,historical,1,0.1573803427053763,0.1573803427053763,0.1573803427053763
soyb,wet,1981,0.2590045104155279,0.2590045104155279,0.2590045104155279,historical,1,0.18170244618442272,0.18170244618442272,0.18170244618442272
soyb,wet,1982,0.1500333443863612,0.1500333443863612,0.1500333443863612,historical,1,0.1651683801666817,0.1651683801666817,0.1651683801666817
soyb,wet,1983,0.2546687566215619,0.2546687566215619,0.2546687566215619,historical,1,0.17397952625684995,0.17397952625684995,0.17397952625684995
soyb,wet,1984,0.0990321160957176,0.0990321160957176,0.0990321160957176,historical,1,0.14221141548648744,0.14221141548648744,0.14221141548648744
soyb,wet,1985,0.1071589037650811,0.1071589037650811,0.1071589037650811,historical,1,0.11925481022987601,0.11925481022987601,0.11925481022987601
soyb,wet,1986,0.1001639565637153,0.1001639565637153,0.1001639565637153,historical,1,0.09571043383701028,0.09571043383701028,0.09571043383701028
soyb,wet,1987,0.0352503181033041,0.0352503181033041,0.0352503181033041,historical,1,0.10379332363576237,0.10379332363576237,0.10379332363576237
soyb,wet,1988,0.1369468746572333,0.1369468746572333,0.1369468746572333,historical,1,0.15414301956461468,0.15414301956461468,0.15414301956461468
soyb,wet,1989,0.1394465650894781,0.1394465650894781,0.1394465650894781,historical,1,0.20876309690422934,0.20876309690422934,0.20876309690422934
soyb,wet,1990,0.3589073834093427,0.3589073834093427,0.3589073834093427,historical,1,0.22859324572750586,0.22859324572750586,0.22859324572750586
soyb,wet,1991,0.3732643432617885,0.3732643432617885,0.3732643432617885,historical,1,0.2582168960906615,0.2582168960906615,0.2582168960906615
soyb,wet,1992,0.1344010622196869,0.1344010622196869,0.1344010622196869,historical,1,0.30661184811206665,0.30661184811206665,0.30661184811206665
soyb,wet,1993,0.2850651264730116,0.2850651264730116,0.2850651264730116,historical,1,0.2632299736428341,0.2632299736428341,0.2632299736428341
soyb,wet,1994,0.3814213251965036,0.3814213251965036,0.3814213251965036,historical,1,0.2405732584963788,0.2405732584963788,0.2405732584963788
soyb,wet,1995,0.1419980110631799,0.1419980110631799,0.1419980110631799,historical,1,0.24418413049068727,0.24418413049068727,0.24418413049068727
soyb,wet,1996,0.2599807675295121,0.2599807675295121,0.2599807675295121,historical,1,0.3199262433110187,0.3199262433110187,0.3199262433110187
soyb,wet,1997,0.1524554221912293,0.1524554221912293,0.1524554221912293,historical,1,0.27991311424556053,0.27991311424556053,0.27991311424556053
soyb,wet,1998,0.6637756905746683,0.6637756905746683,0.6637756905746683,historical,1,0.2910009672148213,0.2910009672148213,0.2910009672148213
soyb,wet,1999,0.1813556798692129,0.1813556798692129,0.1813556798692129,historical,1,0.28249956366764495,0.28249956366764495,0.28249956366764495
soyb,wet,2000,0.1974372759094839,0.1974372759094839,0.1974372759094839,historical,1,0.3144780229739584,0.3144780229739584,0.3144780229739584
soyb,wet,2001,0.21747374979363,0.21747374979363,0.21747374979363,historical,1,0.23993873205033617,0.23993873205033617,0.23993873205033617
soyb,wet,2002,0.3123477187227966,0.3123477187227966,0.3123477187227966,historical,1,0.23131862781718798,0.23131862781718798,0.23131862781718798
soyb,wet,2003,0.2910792359565574,0.2910792359565574,0.2910792359565574,historical,1,0.26473138457901263,0.26473138457901263,0.26473138457901263
soyb,wet,2004,0.138255158703472,0.138255158703472,0.138255158703472,historical,1,0.3062086873220127,0.3062086873220127,0.3062086873220127
soyb,wet,2005,0.3645010597186071,0.3645010597186071,0.3645010597186071,historical,1,0.3157947214759439,0.3157947214759439,0.3157947214759439
soyb,wet,2006,0.4248602635086304,0.4248602635086304,0.4248602635086304,historical,1,0.3064356978109669,0.3064356978109669,0.3064356978109669
soyb,wet,2007,0.3602778894924527,0.3602778894924527,0.3602778894924527,historical,1,0.35019831631778037,0.35019831631778037,0.35019831631778037
soyb,wet,2008,0.2442841176316723,0.2442841176316723,0.2442841176316723,historical,1,0.407596754498205,0.407596754498205,0.407596754498205
soyb,wet,2009,0.3570682512375396,0.3570682512375396,0.3570682512375396,historical,1,0.3894721325479926,0.3894721325479926,0.3894721325479926
soyb,wet,2010,0.65149325062073,0.65149325062073,0.65149325062073,historical,1,0.3898397107066742,0.3898397107066742,0.3898397107066742
soyb,wet,2011,0.3342371537575684,0.3342371537575684,0.3342371537575684,historical,1,0.4885781328493152,0.4885781328493152,0.4885781328493152
soyb,wet,2012,0.3621157802858609,0.3621157802858609,0.3621157802858609,historical,1,0.4651247267993073,0.4651247267993073,0.4651247267993073
soyb,wet,2013,0.7379762283448772,0.7379762283448772,0.7379762283448772,historical,1,0.44130319012823627,0.44130319012823627,0.44130319012823627
soyb,wet,2014,0.2398012209875002,0.2398012209875002,0.2398012209875002,historical,1,0.5438495820571179,0.5438495820571179,0.5438495820571179
soyb,wet,2015,0.5323855672653743,0.5323855672653743,0.5323855672653743,historical,1,0.5326835364056528,0.5326835364056528,0.5326835364056528
soyb,wet,2016,0.8469691134019767,0.8469691134019767,0.8469691134019767,historical,1,0.5448163324914885,0.5448163324914885,0.5448163324914885
soyb,wet,2017,0.3062855520285357,0.3062855520285357,0.3062855520285357,historical,1,0.6392512212689226,0.6392512212689226,0.6392512212689226
soyb,wet,2018,0.7986402087740558,0.7986402087740558,0.7986402087740558,historical,1,0.6659676347698097,0.6659676347698097,0.6659676347698097
soyb,wet,2019,0.7119756648746703,0.7119756648746703,0.7119756648746703,historical,1,0.6056338085590873,0.6056338085590873,0.6056338085590873
whea,dry,1980,0.392215762046278,0.392215762046278,0.392215762046278,historical,1,0.6913726389987523,0.6913726389987523,0.6913726389987523
whea,dry,1981,1.0088349258660538,1.0088349258660538,1.0088349258660538,historical,1,0.6696822956754168,0.6696822956754168,0.6696822956754168
whea,dry,1982,0.673067229083925,0.673067229083925,0.673067229083925,historical,1,0.6975653268953017,0.6975653268953017,0.6975653268953017
whea,dry,1983,0.6046112657054102,0.6046112657054102,0.6046112657054102,historical,1,0.6950928933930723,0.6950928933930723,0.6950928933930723
whea,dry,1984,0.8090974517748413,0.8090974517748413,0.8090974517748413,historical,1,0.7039592234495307,0.7039592234495307,0.7039592234495307
whea,dry,1985,0.379853594535131,0.379853594535131,0.379853594535131,historical,1,0.6461091421685653,0.6461091421685653,0.6461091421685653
whea,dry,1986,1.0531665761483455,1.0531665761483455,1.0531665761483455,historical,1,0.6997105340287657,0.6997105340287657,0.6997105340287657
whea,dry,1987,0.3838168226790986,0.3838168226790986,0.3838168226790986,historical,1,0.7015339709038153,0.7015339709038153,0.7015339709038153
whea,dry,1988,0.8726182250064125,0.8726182250064125,0.8726182250064125,historical,1,0.7405175146325809,0.7405175146325809,0.7405175146325809
whea,dry,1989,0.8182146361500889,0.8182146361500889,0.8182146361500889,historical,1,0.6608723056240551,0.6608723056240551,0.6608723056240551
whea,dry,1990,0.5747713131789585,0.5747713131789585,0.5747713131789585,historical,1,0.7843612731964094,0.7843612731964094,0.7843612731964094
whea,dry,1991,0.654940531105717,0.654940531105717,0.654940531105717,historical,1,0.7395242739548926,0.7395242739548926,0.7395242739548926
whea,dry,1992,1.00126166054087,1.00126166054087,1.00126166054087,historical,1,0.7138108409301704,0.7138108409301704,0.7138108409301704
whea,dry,1993,0.6484332287988288,0.6484332287988288,0.6484332287988288,historical,1,0.8710382979605777,0.8710382979605777,0.8710382979605777
